Datetime;Price;Source;Tag;Note;Link
2021-11-20 00:00:00;1575;wwipl;;;
2021-12-14 00:00:00;1580;wwipl;;;
2022-02-02 00:00:00;1550;wwipl;;;
2022-03-23 00:00:00;1600;wwipl;;;
2022-03-23 00:00:00;1500;wwipl;;;
2022-03-24 00:00:00;1590;wwipl;;;
2022-03-24 00:00:00;1500;wwipl;;;
2022-03-29 00:00:00;1490;wwipl;;;
2022-05-14 00:00:00;1400;wwipl;;;
2022-05-20 00:00:00;1390;wwipl;;;
2022-06-14 00:00:00;1251;wwipl;;;
2022-06-17 00:00:00;1224;wwipl;;;
2022-12-16 00:00:00;1200;wwipl;;;
2023-04-28 00:00:00;1250;wwipl;;;
2023-05-07 00:00:00;1255;wwipl;;;
2023-06-29 00:00:00;1200;wwipl;;;
2023-06-30 00:00:00;1180;wwipl;;;
2023-08-17 00:00:00;1200;wwipl;;;
2023-12-02 00:00:00;1300;wwipl;;;
2023-12-05 00:00:00;1350;wwipl;;;
2023-12-07 00:00:00;1325;wwipl;;;
2023-12-19 00:00:00;1300;wwipl;;;
2024-03-29 00:00:00;1290;wwipl;;;
2024-04-23 00:00:00;1275;wwipl;;;
2024-06-26 00:00:00;1300;wwipl;;;
2024-08-26 00:00:00;1400;wwipl;;;
2024-08-26 00:00:00;1550;wwipl;;;
2024-08-27 00:00:00;1600;wwipl;;;
2024-08-30 00:00:00;1700;wwipl;;;
2024-08-31 00:00:00;1710;wwipl;;;
2024-09-05 00:00:00;1700;wwipl;;;
2024-09-24 00:00:00;1750;wwipl;;;
2024-10-15 00:00:00;1800;wwipl;;;
2024-10-21 00:00:00;1775;wwipl;;;
2024-11-04 00:00:00;1750;wwipl;;;
2024-12-06 00:00:00;1730;wwipl;;;
2024-12-24 00:00:00;1750;wwipl;;;
2024-12-28 00:00:00;1800;wwipl;;;
2025-01-21 00:00:00;1750;wwipl;;;
2025-01-31 00:00:00;1725;wwipl;;;
2025-02-20 00:00:00;1690;wwipl;;;
2025-02-27 00:00:00;1750;wwipl;;;
2025-03-01 00:00:00;1760;wwipl;;;
2025-03-12 00:00:00;1725;wwipl;;;
2025-04-14 00:00:00;1700;wwipl;;;
2025-06-07 00:00:00;1750;wwipl;;;
2025-07-17 00:00:00;1700;wwipl;;;
2025-07-22 00:00:00;1675;wwipl;;;
2025-08-05 00:00:00;1750;wwipl;;;
2025-08-06 00:00:00;1850;wwipl;;;
2025-08-15 00:00:00;1800;wwipl;;;
2025-09-10 00:00:00;1850;wwipl;;;
2025-09-13 00:00:00;1950;wwipl;;;
2025-09-15 00:00:00;2050;wwipl;;;
2025-09-24 00:00:00;2100;wwipl;;;
2025-10-28 00:00:00;2050;wwipl;;;
2025-10-29 00:00:00;2000;wwipl;;;
2025-11-10 00:00:00;1980;wwipl;;;
2025-11-27 00:00:00;1900;wwipl;;;
2025-11-28 00:00:00;1850;wwipl;;;
2025-12-01 00:00:00;1820;wwipl;;;
2025-12-19 00:00:00;1850;wwipl;;;
2025-12-20 00:00:00;1820;wwipl;;;
2025-12-22 00:00:00;1750;wwipl;;;
2025-12-30 00:00:00;1830;wwipl;;;
2025-12-30 00:00:00;1800;wwipl;;;
2026-03-09 00:00:00;1850;wwipl;;;
2026-03-17 00:00:00;1750;wwipl;;;
2026-03-18 00:00:00;1800;wwipl;;;
2026-03-28 00:00:00;1765;wwipl;;;
2026-04-03 00:00:00;1800;wwipl;;;
2026-04-07 00:00:00;1791;wwipl;;;
2026-04-13 00:00:00;1790;wwipl;;;
2026-04-22 00:00:00;1750;wwipl;;;
