Datetime;Price;Source;Tag;Note;Link
2025-01-13 00:00:00;40000;wwipl;;;
2025-01-17 00:00:00;39900;wwipl;;;
2025-01-19 00:00:00;40000;wwipl;;;
2025-04-14 00:00:00;40100;wwipl;;;
2025-05-09 00:00:00;40000;wwipl;;;
2025-05-17 00:00:00;36000;wwipl;;;
2025-05-24 00:00:00;35000;wwipl;;;
2025-11-19 00:00:00;30000;wwipl;;;
2025-11-20 00:00:00;29000;wwipl;;;
2025-11-22 00:00:00;25000;wwipl;;;
2025-11-24 00:00:00;22000;wwipl;;;
2025-11-25 00:00:00;20000;wwipl;;;
2025-11-26 00:00:00;18000;wwipl;;;
2025-12-03 00:00:00;15000;wwipl;;;
2025-12-04 00:00:00;12000;wwipl;;;
2025-12-05 00:00:00;11000;wwipl;;;
2025-12-31 00:00:00;9999;wwipl;;;
2025-12-31 00:00:00;11000;wwipl;;;
2025-12-31 00:00:00;9999;wwipl;;;
2026-02-01 00:00:00;9000;wwipl;;;
2026-02-10 00:00:00;8500;wwipl;;;
2026-04-05 00:00:00;8074;wwipl;;;
2026-04-10 00:00:00;7600;wwipl;;;
